Kernel timing: 0.000560, Kernel size: 100
Kernel timing: 0.000376, Kernel size: 177
Kernel timing: 0.000406, Kernel size: 314
Kernel timing: 0.000448, Kernel size: 558
Kernel timing: 0.000370, Kernel size: 992
Kernel timing: 0.000264, Kernel size: 1764
Kernel timing: 0.000333, Kernel size: 3136
Kernel timing: 0.000325, Kernel size: 5576
Kernel timing: 0.000249, Kernel size: 9915
Kernel timing: 0.000418, Kernel size: 17631
Kernel timing: 0.000299, Kernel size: 31352
Kernel timing: 0.000343, Kernel size: 55752
Kernel timing: 0.000537, Kernel size: 99142
Kernel timing: 0.000725, Kernel size: 176302
Kernel timing: 0.000872, Kernel size: 313514
Kernel timing: 0.001074, Kernel size: 557515
Kernel timing: 0.001738, Kernel size: 991417
Kernel timing: 0.003024, Kernel size: 1763016
Kernel timing: 0.005280, Kernel size: 3135135
Kernel timing: 0.009214, Kernel size: 5575146
Kernel timing: 0.016176, Kernel size: 9914167
Kernel timing: 0.028651, Kernel size: 17630159
Kernel timing: 0.050959, Kernel size: 31351348
Kernel timing: 0.090384, Kernel size: 55751456
Kernel timing: 0.133422, Kernel size: 99141666
Kernel timing: 0.238974, Kernel size: 176301583
Kernel timing: 0.429026, Kernel size: 313513475
